idx,population,X,Y,Z,border_distance,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
151,B_mid_truth_600k_1100k,20,77.838,3753.36,77.838,1.01747e+06,1.06634e+06,1.04803,10000000,25.3841,132.057,3358,335278,3358
152,B_mid_truth_600k_1100k,20,77.838,3864.96,77.838,1.05196e+06,1.08126e+06,1.02785,10000000,25.3841,131.693,3338,336969,3338
153,B_mid_truth_600k_1100k,20,77.838,3985.75,77.838,1.01787e+06,1.06634e+06,1.04762,10000000,25.3841,132.169,3318,335829,3318
154,B_mid_truth_600k_1100k,20,77.838,4097.35,77.838,1.05288e+06,1.08126e+06,1.02696,10000000,25.3841,131.571,3298,337263,3298
155,B_mid_truth_600k_1100k,20,77.838,4218.14,77.838,1.01871e+06,1.06634e+06,1.04675,10000000,25.3841,131.849,3278,336522,3278
156,B_mid_truth_600k_1100k,20,77.838,4329.74,77.838,1.05376e+06,1.08126e+06,1.0261,10000000,25.3841,131.385,3258,336725,3258
157,B_mid_truth_600k_1100k,20,77.838,4450.53,77.838,1.01714e+06,1.06631e+06,1.04835,10000000,25.3841,131.973,3238,335198,3238
158,B_mid_truth_600k_1100k,20,77.838,4562.13,77.838,1.05198e+06,1.08118e+06,1.02776,10000000,25.3841,131.502,3218,336347,3218
159,B_mid_truth_600k_1100k,20,77.838,4682.92,77.838,1.01856e+06,1.06616e+06,1.04673,10000000,25.3841,131.832,3198,336254,3198
160,B_mid_truth_600k_1100k,20,77.838,4794.52,77.838,1.05148e+06,1.08088e+06,1.02796,10000000,25.3841,131.237,3178,336595,3178
161,B_mid_truth_600k_1100k,20,77.838,4915.31,77.838,1.0173e+06,1.06554e+06,1.04742,10000000,25.3841,131.381,3158,335397,3158
162,B_mid_truth_600k_1100k,20,77.838,5026.91,77.838,1.05161e+06,1.07966e+06,1.02668,10000000,25.3841,130.844,3138,336123,3138
163,B_mid_truth_600k_1100k,20,77.838,5147.7,77.838,1.0168e+06,1.06295e+06,1.04538,10000000,25.3841,129.967,3118,336978,3118
164,B_mid_truth_600k_1100k,20,77.838,5259.3,77.838,1.04945e+06,1.07443e+06,1.0238,10000000,25.3841,128.622,3098,337862,3098
165,B_mid_truth_600k_1100k,20,77.838,5380.09,77.838,1.00842e+06,1.05168e+06,1.0429,10000000,25.3841,126.649,3078,335069,3078
166,B_mid_truth_600k_1100k,20,77.838,5491.69,77.838,1.0355e+06,1.05116e+06,1.01512,10000000,25.3841,122.938,3058,336902,3058
